AACombo,Fitness
WIPY,0.0
SSGD,0.036360625
FGGK,0.0
WYIR,0.0
TRAT,0.03169
EIRD,0.0
EIRF,0.0
EIRG,0.0
EIRA,0.0
VNTR,0.001276
EIRL,0.0
EIRN,0.0
EIRI,0.0
EIRK,0.0
EIRT,0.0
EIRV,0.0
EIRW,0.0
EIRQ,0.0
EIRR,0.00793
EIRS,0.0
VNTL,2.17515636364
VNTM,3.43094666667
VNTN,0.0
EIRY,0.0
VNTK,0.0
FCGY,0.01848
SHRT,0.0
FGGG,0.00730571428571
GCTM,1.21192
PVCV,0.0118942857143
HEHQ,0.0
WYIL,0.021125
HEHS,0.0
HEHR,0.0
HEHT,0.0
HEHW,0.0
YIKA,0.0
YIKG,0.05431
WIPS,0.0
YIKI,0.0
YIKN,0.0
YIKM,0.0
YIKS,0.0
YIKW,0.0
YIKV,0.0
GRCG,0.009514
YDCS,0.05546
WIPT,0.0
AQHR,0.0
HEHA,0.0
KNYY,0.0
SSGY,9.85136333333
KNYQ,0.0
KNYR,0.0
KNYS,0.0
KNYT,0.0
KNYV,0.0
KNYW,0.0
KNYI,0.0
KNYK,0.0
KNYL,0.01001
KNYM,0.0
KNYN,0.0
KNYA,0.0
YDCQ,0.08946
KNYD,0.0
KNYF,0.0
KNYG,0.04225
RMSG,0.0
WIPW,0.0
HHHK,0.0
RMSK,0.0
HHHG,0.0
DDCW,0.0
GRCD,0.0
GFWM,0.0
GFWK,0.0
HYLI,0.10184
HYLK,0.0
HYLM,0.17109
HYLL,0.17951
HYLN,0.0
HYLA,0.01729
DDCR,0.0
HYLD,0.0
HYLG,0.0237716666667
HYLF,0.0075299999999999
HYLY,0.0
HYLQ,0.0
HYLS,0.0
HYLR,0.0
HYLT,0.0
HYLW,0.0
HYLV,0.075435
KCKA,0.0
KCKG,0.0
KCKF,0.0
KCKD,0.0
KCKN,0.0
GCTS,0.340978571429
KCKL,0.0
KCKS,0.0
KCKV,0.0
KCKT,0.0
KCKY,0.0
THMK,0.0712899999999999
RMSY,0.003665
QKML,0.01268
YIPF,0.00343
YIPG,0.0
YIPD,0.0
DDCM,0.0
GFWW,1.026555
QKMD,0.0
PTYA,0.0
ADRT,0.0
ISWI,0.0077133333333299
ISWK,0.02113
ISWM,0.00528666666667
ISWL,0.0141266666667
ISWN,0.00488
ISWA,0.005095
GFWR,0.006345
ISWD,0.0
ISWG,0.003735
ISWF,0.00578666666667
ISWY,0.135246666667
ISWQ,0.0231766666667
ISWS,0.000917777777778
ISWR,0.00529
ISWT,2.56097833333
ISWW,0.0
ISWV,0.00766666666667
PAYR,0.0
PAYS,0.0
PAYQ,0.0
PAYV,0.0
PAYW,0.0
PAYT,0.0
QKMS,0.0
PAYI,0.006345
PAYN,0.063375
PAYL,0.0
PAYM,0.0
PAYA,0.0
PAYF,0.0
PAYG,0.0
PAYD,0.0
YIPV,0.3329975
YIPT,0.001705
QKMV,0.0
YIPR,0.0
QKMT,0.0
YIPS,0.00514666666667
WIPA,0.0
TRHA,0.0
LANG,0.002544
LANF,0.00406
LAND,0.0
LANA,0.0
LANN,0.0
LANM,0.00793
LANL,0.00949333333333
LANK,0.0
LANI,0.0087599999999999
LANW,0.0
LANV,0.0
LANT,0.0
LANS,0.0094907142857099
LANR,0.00284
LANQ,0.005078
YIPY,0.0
LANY,0.002542
MDHF,0.01028
MDHD,0.0
DNKA,0.0
FLAK,0.0
DNKG,0.0
DNKF,0.0
DNKD,0.0
DNKK,0.0
DNKI,0.0
DNKN,0.0
DNKL,0.0
DNKS,0.0
DNKR,0.0
DNKW,0.0
DNKV,0.0
WKDQ,0.0
DNKY,0.0
AIGV,0.0997028571428999
WPVT,0.0
WPVQ,0.0
MDHW,0.0
MDHV,0.0
WPVM,0.0
MDHS,0.0
WIPG,0.0
WPVG,0.0
WPVF,0.0
WVFQ,0.0
VMPR,0.0
VMPQ,0.0
EFVG,0.0
EFVF,0.0
EFVD,0.0
EFVK,0.0
EFVI,0.0
EFVN,1.435275
EFVM,0.0
EFVL,0.00192833333333
EFVS,0.0
EFVR,0.0
EFVQ,0.0
EFVW,0.0
EFVV,0.0
EFVT,0.0
VMPK,0.0
